-9.0274,-1.3033,1.2389,-3.9849,2.6421,-1.5352,1.9188,-0.44621,4.4029,-0.95426,1.6667
-6.9081,4.1557,-2.4794,-0.22838,-2.5118,-1.2817,4.5106,-0.2852,3.2082,0.82975,1.8889
-10.002,-5.4978,0.70826,-5.4976,4.771,-2.2029,1.7218,-0.5511,5.02,-1.732,2.2222
-7.9797,-2.6853,-1.4987,-1.4623,3.0255,-2.7291,3.384,-0.57916,3.3993,-0.92478,2.2222
-9.2368,-4.1008,-0.44553,-1.1307,0.27238,-0.047763,-0.20979,-0.10862,1.6621,-0.65144,2.3333
-6.1904,-3.2491,-1.0242,2.9287,-0.50743,-0.69413,0.99987,-0.24087,1.1898,-0.84959,1.4444
-3.6986,4.6599,-0.092991,3.5431,-1.126,-0.38547,1.8943,-0.21042,2.1491,0.24942,2.6667
-6.113,-3.3801,0.74375,0.85851,-2.5589,2.1066,-0.71775,0.44246,-2.2664,2.4927,2.2222
-6.6152,-3.0663,-1.4715,3.1455,-0.00866,-1.2376,1.6312,-0.36457,1.8114,-1.139,1.4444
0.42867,-1.803,-0.7332,1.3516,-1.4688,0.49484,-0.3729,0.10024,-0.20747,0.72364,1.8889
-6.5197,-0.30813,0.59194,3.97,0.72121,-1.0265,0.88051,-0.30181,1.679,-1.2006,1.4444
-8.8236,-5.4496,0.83649,-6.3237,4.5483,-1.2651,-0.77867,-0.58366,5.9472,-1.6874,3.3333
-5.7045,6.2993,-2.2071,-0.64405,-3.9391,0.30706,1.8924,0.080702,-0.22516,0.378,6.5556
-7.3953,4.8819,3.5477,4.9579,4.6759,-0.3338,-4.643,0.034919,-2.4461,-0.85905,3.5556
-3.0768,-3.8498,0.055234,1.8361,-2.7101,0.67761,1.6707,0.23101,-2.0765,1.4711,1.5532
-10.797,-3.2257,3.6679,-0.23777,0.80359,2.7689,-3.2194,0.25724,2.1328,1.3273,3.2222
-6.601,9.084,-2.599,0.038706,-1.2807,0.22647,2.3606,-0.0058376,-1.0039,0.85967,5.4444
-5.6636,3.6418,1.8891,2.1507,2.0495,0.55636,-5.996,-0.20753,0.65848,-2.0037,4
-6.2959,-1.7505,-1.5202,3.327,-1.0555,-0.26545,0.29713,-0.19288,1.5635,-0.87881,2.2222
-6.5647,-4.5121,-1.4404,-7.0556,2.3871,-0.20623,-0.39208,0.44125,-4.1537,0.92807,7.6667
-15.291,13.118,37.53,20,32.341,-3.0487,-6.9618,0.57262,-28.925,30.299,1.4444
-5.9685,3.761,5.8193,6.0591,4.5573,-1.3513,-0.45493,-0.22534,-1.1483,2.0003,2.5556
-4.1704,-6.4716,-1.4858,2.5558,-1.1465,0.12904,0.71164,0.21121,-3.6498,0.89589,1.5046
-8.6546,2.1168,2.4616,-3.4809,6.0025,-2.3109,2.4038,-0.14772,-1.0332,1.1321,3.6667
-6.1442,3.6071,1.9714,3.5749,2.6465,-1.2647,0.0050695,-0.11723,-0.83021,-0.31218,3.9506
-4.2952,-6.3931,-1.2033,2.2853,-1.6079,0.56277,0.01793,0.21137,-2.7623,0.84193,1.4444
